Phyla,Species,antimicrobial-resistance,Biofilm-formation,Human-pathogenicity,Thermophile,Radiation-resistance,Spore-formation
Ascomycota,Aaosphaeria arxii CBS 175.79,0,1,0,2,0,1
Mucoromycota,Absidia caerulea NRRL1315,1,1,1,1,1,1
Mucoromycota,Absidia repens NRRL 1336,1,1,1,1,1,1
Ascomycota,Amniculicola lignicola CBS 123094,1,1,0,2,0,0
Ascomycota,Amorphotheca resinae ATCC 22711,0,0,1,0,0,1
Ascomycota,Aplosporella prunicola CBS 121167,0,0,1,2,0,0
Ascomycota,Ascoidea rubescens DSM 1968,1,2,1,0,0,1
Ascomycota,Aspergillus aculeatinus CBS 121060,1,1,0,2,0,1
Ascomycota,Aspergillus aculeatus ATCC 16872,1,1,1,2,0,1
Ascomycota,Aspergillus alliaceus CBS 536.65,1,1,1,2,1,1
Ascomycota,Aspergillus brasiliensis CBS 101740,1,1,1,2,0,1
Ascomycota,Aspergillus brunneoviolaceus CBS 621.78,1,1,0,2,0,1
Ascomycota,Aspergillus clavatus NRRL 1,0,1,1,2,1,1
Ascomycota,Aspergillus costaricaensis CBS 115574,1,1,1,2,0,1
Ascomycota,Aspergillus ellipticus CBS 707.79,0,1,1,0,0,1
Ascomycota,Aspergillus eucalypticola CBS 122712,1,0,1,2,0,1
Ascomycota,Aspergillus fijiensis CBS 313.89,1,0,0,2,0,1
Ascomycota,Aspergillus flavus NRRL3357,1,1,1,2,1,1
Ascomycota,Aspergillus fumigatus Af293,1,1,1,2,1,1
Ascomycota,Aspergillus giganteus CBS 515.65,1,1,1,2,1,1
Ascomycota,Aspergillus glaucus CBS 516.65,1,1,1,2,0,1
Ascomycota,Aspergillus heteromorphus CBS 117.55,0,1,1,2,0,1
Ascomycota,Aspergillus homomorphus CBS 101889,1,1,1,2,0,1
Ascomycota,Aspergillus ibericus CBS 121593,1,1,0,2,0,1
Ascomycota,Aspergillus indologenus CBS 114.80,1,1,0,2,0,1
Ascomycota,Aspergillus intermedius CBS 116.62,1,1,1,2,1,1
Ascomycota,Aspergillus japonicus CBS 114.51,1,1,0,2,0,1
Ascomycota,Aspergillus luchuensis CBS 106.47,1,0,1,2,0,1
Ascomycota,Aspergillus neoniger CBS 115656,0,1,1,2,0,1
Ascomycota,Aspergillus niger ATCC 1015,1,0,1,2,0,1
Ascomycota,Aspergillus nomiae NRRL 13137,1,0,1,2,0,1
Ascomycota,Aspergillus ochraceus ITEM 7043,1,1,1,2,1,1
Ascomycota,Aspergillus phoenicis ATCC 13157,1,0,1,2,0,1
Ascomycota,Aspergillus piperis CBS 112811,1,0,1,2,0,1
Ascomycota,Aspergillus ruber CBS 135680,1,1,1,2,0,1
Ascomycota,Aspergillus sclerotiicarbonarius CBS 121057,1,0,1,2,0,1
Ascomycota,Aspergillus sclerotioniger CBS 115572,1,1,0,2,0,1
Ascomycota,Aspergillus sclerotiorum CBS 549.65,1,1,1,2,1,2
Ascomycota,Aspergillus sydowii CBS 593.65,1,0,1,2,0,2
Ascomycota,Aspergillus tubingensis CBS 134.48,1,1,1,2,0,1
Ascomycota,Aspergillus uvarum CBS 121591,1,0,0,2,0,1
Ascomycota,Aspergillus vadensis CBS 113365,1,1,1,2,0,1
Ascomycota,Aspergillus versicolor CBS 583.65,1,0,1,2,0,2
Ascomycota,Aspergillus violaceofuscus CBS 115571,0,0,0,2,0,1
Ascomycota,Aspergillus nomiae,1,1,1,2,1,1
Ascomycota,Aulographum hederae CBS 113979,1,0,0,2,0,0
Ascomycota,Aureobasidium namibiae CBS 147.97,0,1,0,0,0,0
Ascomycota,Babjeviella inositovora NRRL Y-12698,1,2,1,0,0,0
Zygomycota,Basidiobolus meristosporus CBS 931.73,0,0,0,0,0,1
Zygomycota,Basidiobolus microsporus NRRL 2992,1,1,1,2,2,1
Mucoromycota,Benjaminiella poitrasii RSA903 Metagenome-Assembled Genome,1,1,1,1,1,1
Ascomycota,Bimuria novae-zelandiae CBS 107.79,0,0,0,0,0,0
Ascomycota,Bipolaris maydis ATCC 48331,0,1,0,0,0,0
Ascomycota,Bipolaris oryzae ATCC 44560,0,1,0,2,0,0
Ascomycota,Blastomyces dermatitidis ATCC 18188,0,1,1,2,0,0
Ascomycota,Blastomyces dermatitidis ER-3,1,1,1,2,1,1
Ascomycota,Issatchenkia orientalis,1,2,1,1,1,1
Mucoromycota,Calcarisporiella thermophila CBS 279.70,1,1,1,1,1,1
Ascomycota,Candida albicans SC5314,2,2,2,0,2,1
Ascomycota,Candida boidinii NRRL Y-2332,1,2,1,1,2,1
Ascomycota,Candida parapsilosis CDC317,2,2,1,2,2,1
Ascomycota,Candida railenensis,2,2,1,1,1,1
Ascomycota,Capronia coronata CBS 617.96,0,1,1,0,0,1
